production_scale,energy_source,location,process_type,recycling_rate_input,material_efficiency_input,scrap_ratio,secondary_material_fraction,energy_recovery_rate,total_inputs,total_outputs,is_metallurgy,has_circularity,environmental_efficiency,circularity_index,process_classification,carbon_footprint,energy_consumption,water_usage,recycling_rate,waste_ratio,data_source,material_type,industry,timestamp
1662.4483079932108,grid,urban,primary_copper_production,0.0,0.6720407285070699,0.0,0.0,79.1451185624525,1757.1637783613699,1117.2329720091032,True,False,0.1448049157463511,0.36832097076311177,primary_production,6615.516554476149,114023473.3573151,58852.611707733115,0.0,0.4675731368574506,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.642043
438.7656073031302,grid,remote,primary_copper_production,0.0,0.6785397141551489,0.0,0.0,80.08638821128787,464.72575976113205,297.7198897605763,True,False,0.24809009729012466,0.38632827814938175,primary_production,1393.4236517144811,27148246.22642353,19083.148661723124,0.0,0.4046424872196814,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.642043
1853.186141294449,grid,remote,primary_copper_production,0.0,0.669068766658989,0.0,0.0,69.85855257149638,2019.5198438530647,1239.9089659454078,True,False,0.20313923560500857,0.3559238027806999,primary_production,6388.559966726517,120078955.96950428,69192.62692330865,0.0,0.5130010621997849,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.642043
557.2268353150773,grid,industrial,primary_copper_production,0.0,0.6430957433213216,0.0,0.0,86.8763264500455,630.8894195614845,358.3502058555373,True,False,0.17446160675478056,0.3648614093284713,primary_production,2274.2572699828124,37144738.368539296,25394.265896479486,0.0,0.4408884033359651,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
908.5823461955847,coal,remote,primary_copper_production,0.0,0.6650966911623756,0.0,0.0,79.36471082692142,1023.1752164833453,604.2951121032314,True,False,0.1,0.3769797646461264,primary_production,4398.585788782917,81143723.8774545,36120.58787940471,0.0,0.42321630904282004,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
404.1585019839608,renewable,remote,primary_copper_production,0.0,0.6688099123633382,0.0,0.0,81.70409129522191,440.4544984627165,270.3052122927908,True,False,0.442271350645015,0.3830243390174751,primary_production,983.93821772881,19905760.92918664,16265.229166628731,0.0,0.40423652123877307,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1511.192909182445,coal,urban,primary_copper_production,0.0,0.6687560766596855,0.0,0.0,75.83887132294495,1638.2251948606133,1010.6194410207884,True,False,0.1,0.36451124650251443,primary_production,5770.593917229497,132294973.10471128,66851.17935882224,0.0,0.47821352131350187,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1175.9424326100404,grid,urban,primary_copper_production,0.0,0.6436876175327545,0.0,0.0,77.26019512476446,1254.5178789148595,756.9395828024286,True,False,0.2897838503286723,0.38216750278784173,primary_production,4690.477792358836,69573516.56095397,54916.74594781989,0.0,0.37249265339448917,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1458.4983283191104,renewable,industrial,primary_copper_production,0.0,0.6500302337686455,0.0,0.0,66.36623587608884,1664.0099706195529,948.0680093084501,True,False,0.5421941596431625,0.34677395645332115,primary_production,3407.346061837792,62361566.70373467,54569.42734753692,0.0,0.5229465014628191,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1200.2289519705844,grid,urban,primary_copper_production,0.0,0.647898113090313,0.0,0.0,70.3787510737778,1358.9955497507947,777.6260732581055,True,False,0.24043024420116826,0.3429653367855099,primary_production,4340.7847488698735,74860721.15243159,49682.03085475348,0.0,0.5351960111843984,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
632.2819930889617,grid,remote,primary_copper_production,0.0,0.6579261198428673,0.0,0.0,63.02768548906812,703.1823542225545,415.9948383595352,True,False,0.1,0.36606560486402395,primary_production,2432.712818505133,48203410.6813495,24893.36893792594,0.0,0.4568341483239184,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
126.57660547153196,grid,industrial,primary_copper_production,0.0,0.6754657247294025,0.0,0.0,84.61626957842147,140.88552670025473,85.49815854861599,True,False,0.1,0.35967341108690565,primary_production,566.2573645363591,9769204.884538699,5534.940632495911,0.0,0.5069583702735407,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1115.8785331485522,grid,industrial,primary_copper_production,0.0,0.6450486863140563,0.0,0.0,64.81105596215708,1217.7232724691573,719.7959818935298,True,False,0.21761448093643945,0.35014775077716376,primary_production,4291.022510470683,71254489.27993663,49231.82820423392,0.0,0.5024771577310236,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1224.1664569642298,grid,urban,primary_copper_production,0.0,0.6645134974910974,0.0,0.0,80.78526215044178,1375.5800467033835,813.4751338285854,True,False,0.1340104286450799,0.3912557061465958,primary_production,3597.3132656014877,84821663.98721409,56353.0143907759,0.0,0.3652960719011531,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1829.4354443868049,grid,remote,primary_copper_production,0.0,0.6407271551183136,0.0,0.0,81.79216918579267,2065.4552719292674,1172.1689677545653,True,False,0.23107863947962967,0.36428914675609675,primary_production,6895.078192457056,115217640.18436433,71592.9890577201,0.0,0.4398614301412519,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.643182
1339.0818424705724,coal,industrial,primary_copper_production,0.0,0.6412142563201628,0.0,0.0,72.29870028916231,1484.8524362325988,858.6383677716015,True,False,0.1,0.36166930464936375,primary_production,7374.320227116354,118968824.47890918,53672.78710356897,0.0,0.451022740250773,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.644178
1906.3862832096474,grid,industrial,primary_copper_production,0.0,0.6638024270214798,0.0,0.0,89.26460821304548,2102.594842792403,1265.4638416350222,True,False,0.22135720309084334,0.3881069542767397,primary_production,8810.846256717725,121268628.27232017,76829.46615216833,0.0,0.3768955807231128,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.644178
1469.2488503565487,renewable,urban,primary_copper_production,0.0,0.6284311660698328,0.0,0.0,65.94792014629317,1667.7638859319404,923.3217682763272,True,False,0.5373893025079349,0.37353080932995075,primary_production,3944.995574614969,63280100.35907089,72147.89306827496,0.0,0.3856803951779628,ICA_EPA_copper_standards,copper,copper_recycling,2025-09-19T02:54:44.644178
